"Population by age, sex and year"

"age" "sex" "1860" "1861" "1862" "1863" "1864" "1865" "1866" "1867" "1868" "1869" "1870" "1871" "1872" "1873" "1874" "1875" "1876" "1877" "1878" "1879" "1880" "1881" "1882" "1883" "1884" "1885" "1886" "1887" "1888" "1889" "1890" "1891" "1892" "1893" "1894" "1895" "1896" "1897" "1898" "1899" "1900" "1901" "1902" "1903" "1904" "1905" "1906" "1907" "1908" "1909" "1910" "1911" "1912" "1913" "1914" "1915" "1916" "1917" "1918" "1919" "1920" "1921" "1922" "1923" "1924" "1925" "1926" "1927" "1928" "1929" "1930" "1931" "1932" "1933" "1934" "1935" "1936" "1937" "1938" "1939" "1940" "1941" "1942" "1943" "1944" "1945" "1946" "1947" "1948" "1949" "1950" "1951" "1952" "1953" "1954" "1955" "1956" "1957" "1958" "1959" "1960" "1961" "1962" "1963" "1964" "1965" "1966" "1967" "1968" "1969" "1970" "1971" "1972" "1973" "1974" "1975" "1976" "1977" "1978" "1979" "1980" "1981" "1982" "1983" "1984" "1985" "1986" "1987" "1988" "1989" "1990" "1991" "1992" "1993" "1994" "1995" "1996" "1997" "1998" "1999" "2000" "2001" "2002" "2003" "2004" "2005" "2006" "2007" "2008" "2009" "2010" "2011" "2012" "2013" "2014" "2015" "2016" "2017" "2018" "2019" "2020"
"62 years" "men" 10455 10183 9174 9694 10995 10567 10853 10865 10456 10814 9836 9176 11974 12845 12394 10687 12499 14023 14591 14030 14598 14485 15090 16590 16906 17981 16695 18044 17185 15323 16396 17419 16549 15455 16534 18199 18156 17866 16996 16466 15755 16213 17699 16925 17635 17510 18521 17447 16581 17020 17626 19145 18550 18601 17385 18515 20334 19202 18870 19503 21396 21897 21587 20153 21613 22365 22406 22323 22883 20543 18226 20719 21542 23338 22977 23747 24298 25833 25986 27255 26395 27791 27158 27521 27776 28083 30156 30362 31104 31726 31611 30661 31768 33016 32853 34114 34402 36025 36789 37399 38183 37987 40213 41298 41796 41550 42718 43179 44970 45864 47130 48468 47773 47678 48226 47579 46982 45127 45371 45344 44415 44453 53510 50083 46194 45864 44505 43779 42033 40858 41251 39750 40376 39677 39545 38107 38478 39791 40984 42259 44233 46164 46006 48023 54478 58896 63066 63785 63989 62795 61953 59865 58009 55179 55916 56522 55117 56075 57691 57169 56839
"62 years" "women" 13091 12896 11390 12143 13794 13147 13521 13344 12804 13267 12230 11679 14558 15850 15254 13092 15076 17055 17580 16762 17299 16931 17693 19108 20214 20782 19940 21233 20610 17996 19495 20273 19491 17992 19161 21318 21418 21166 20523 19548 18862 19497 20839 20122 21243 20754 21708 20857 19395 20012 21201 22625 21748 21452 20567 21815 23991 22446 22471 23375 25202 25728 25582 23895 25367 25844 26344 25680 25996 23810 21460 23272 23943 25490 25021 26033 26456 27325 27602 29109 28707 30235 29464 29652 30391 31091 32529 32901 34009 34811 34887 34367 35429 36504 36058 37361 37923 39242 39611 40027 41206 41128 43534 44120 44951 44473 45551 46732 47489 48330 49464 50527 49294 49398 50320 49617 49667 47713 47468 47986 47025 46636 56773 53273 49689 48613 47692 46736 45076 43771 44626 42795 43663 42371 42097 40151 40723 40860 42597 43184 45101 46550 45800 47938 53421 58496 62007 63097 63902 63248 62781 60513 58024 55800 56217 56481 55296 56556 56860 57269 56444
"63 years" "men" 10504 10076 9803 8824 9288 10613 10169 10392 10397 9997 10308 9490 8887 11607 12376 11935 10340 12117 13633 14162 13583 14087 14041 14643 16110 16388 17488 16216 17520 16695 15056 15929 16893 16079 15020 16089 17728 17681 17380 16477 16166 15354 15773 17223 16492 17179 17090 18075 17029 16191 16685 17182 18679 18106 18178 16943 18124 19917 18735 18465 19088 20887 21412 21105 19742 21120 21858 21919 21815 22346 20093 17839 20262 21104 22851 22537 23204 23728 25260 25440 26729 25966 27312 26597 26981 27277 27587 29562 29790 30501 31028 31111 30061 31167 32418 32248 33487 33714 35357 36169 36620 37493 37234 39444 40557 40990 40711 41969 42369 44164 45034 46253 47553 46897 46789 47346 46670 46103 44296 44489 44526 43617 43668 52570 49260 45381 45143 43826 43106 41461 40275 40658 39168 39779 39195 39056 37632 37976 39320 40541 41804 43766 45689 45558 47559 53957 58312 62464 63231 63483 62249 61425 59398 57532 54719 55515 56107 54706 55654 57251 56676
"63 years" "women" 13056 12687 12486 11017 11729 13437 12761 13045 12916 12337 12697 11841 11357 14167 15393 14783 12750 14712 16638 17144 16166 16836 16484 17243 18599 19692 20312 19454 20751 20116 17694 19037 19744 19038 17574 18744 20873 20997 20727 20045 19070 18473 19061 20404 19663 20757 20303 21273 20439 19010 19574 20769 22140 21334 21025 20167 21410 23544 21946 22058 22785 24733 25232 25080 23424 24889 25407 25846 25197 25479 23329 21090 22862 23525 25034 24503 25517 25983 26808 27116 28643 28219 29753 28994 29148 29952 30579 32050 32402 33510 34353 34414 33845 34931 36037 35608 36881 37408 38766 39169 39519 40766 40685 43047 43629 44496 43970 45085 46262 47065 47922 48987 49997 48786 48962 49848 49141 49250 47290 47068 47538 46626 46223 56324 52847 49305 48223 47338 46417 44768 43496 44304 42458 43434 42194 41930 39895 40417 40532 42308 42881 44849 46320 45527 47632 53074 58149 61671 62781 63555 62921 62452 60160 57736 55543 55919 56247 55026 56282 56590 56965
"64 years" "men" 10122 10079 9670 9431 8422 8911 10211 9704 9886 9894 9626 9911 9188 8561 11167 11878 11560 9961 11749 13214 13615 13072 13629 13592 14162 15606 15890 16991 15701 17011 16327 14590 15378 16371 15600 14564 15655 17195 17179 16830 16123 15734 14922 15338 16772 16036 16710 16611 17586 16580 15790 16270 16795 18176 17630 17680 16583 17646 19381 18243 17992 18651 20411 20895 20625 19243 20633 21336 21378 21299 21860 19647 17439 19819 20646 22329 21973 22653 23197 24685 24831 26229 25430 26738 26014 26497 26688 26983 28986 29135 29840 30432 30455 29453 30521 31779 31540 32744 33042 34672 35354 35859 36706 36485 38616 39707 40198 39924 41124 41465 43293 44158 45244 46512 45969 45844 46362 45712 45134 43433 43561 43619 42785 42847 51580 48328 44556 44348 43044 42392 40786 39630 39968 38605 39263 38707 38482 37041 37387 38794 40030 41301 43267 45202 45068 47036 53411 57661 61809 62686 62821 61706 60879 58871 57057 54290 55074 55562 54220 55203 56706
"64 years" "women" 12882 12635 12248 12098 10584 11360 13027 12268 12584 12441 11804 12278 11482 11012 13721 14890 14413 12390 14314 16184 16495 15677 16366 16022 16760 18063 19188 19803 18942 20213 19454 17249 18471 19242 18573 17199 18305 20394 20532 20240 19615 18626 18058 18666 19926 19191 20300 19853 20799 19991 18617 19153 20332 21650 20918 20554 19741 20984 23009 21484 21553 22342 24204 24711 24579 22910 24360 24857 25309 24689 24952 22846 20702 22348 23106 24462 23998 24971 25468 26309 26512 28072 27753 29238 28480 28661 29452 30077 31576 31837 32945 33750 33840 33340 34372 35527 35116 36348 36936 38259 38550 39008 40215 40179 42478 43092 44003 43533 44542 45749 46557 47374 48461 49477 48280 48490 49308 48666 48838 46829 46656 47053 46233 45823 55799 52398 48882 47795 46935 46080 44473 43154 44009 42173 43257 41907 41674 39586 40079 40212 42008 42629 44570 45999 45195 47304 52780 57793 61285 62421 63123 62570 62107 59809 57420 55248 55634 55930 54708 55935 56283
"65 years" "men" 8868 9696 9647 9041 9007 8055 8526 9745 9212 9367 9315 9188 9562 8842 8150 10700 11479 11131 9608 11364 12681 13063 12599 13119 13119 13686 15109 15369 16428 15166 16377 15802 14040 14836 15855 15057 14107 15218 16654 16567 16508 15629 15285 14502 14878 16268 15579 16210 16083 17115 16143 15310 15797 16278 17680 17153 17215 16104 17075 18823 17826 17512 18184 19864 20322 20053 18774 20068 20803 20838 20717 21277 19145 17025 19344 20093 21745 21381 22018 22636 24096 24241 25630 24795 26123 25421 25860 26076 26329 28296 28423 29177 29759 29762 28783 29797 31104 30773 32061 32302 33872 34540 35007 35882 35688 37736 38811 39363 39033 40222 40490 42266 43184 44207 45393 44956 44793 45331 44675 44155 42455 42602 42647 41801 41927 50466 47334 43688 43476 42256 41601 40058 38937 39327 38008 38702 38029 37880 36423 36789 38222 39450 40773 42665 44602 44481 46426 52790 57004 61125 61983 62157 61085 60249 58321 56539 53727 54552 54980 53745 54631
"65 years" "women" 11329 12475 12176 12066 11639 10206 10920 12546 11779 12081 11913 11356 11896 11125 10605 13270 14488 14008 12003 13882 15533 15986 15169 15874 15552 16246 17555 18679 19255 18370 19445 18940 16653 17956 18761 18110 16758 17825 19882 19932 19685 19152 18124 17648 18215 19409 18739 19833 19328 20292 19495 18142 18666 19814 21133 20423 20131 19314 20490 22483 20947 21104 21810 23668 24140 24015 22350 23798 24315 24736 24034 24355 22326 20187 21832 22542 23867 23440 24413 24873 25717 25935 27511 27205 28712 27924 28110 28861 29512 31011 31236 32411 33134 33211 32779 33808 34950 34553 35820 36361 37615 37993 38430 39660 39654 41895 42559 43514 42953 44017 45179 46008 46815 47913 48875 47745 47911 48796 48142 48288 46316 46177 46586 45750 45381 55206 51904 48407 47371 46542 45720 44112 42847 43649 41858 42960 41603 41263 39246 39745 39897 41668 42312 44198 45639 44838 46913 52357 57385 60871 61967 62719 62141 61696 59441 57082 54935 55289 55570 54350 55592
"66 years" "men" 8541 8464 9255 9230 8602 8613 7677 8054 9252 8694 8936 8883 8813 9168 8423 7723 10307 11018 10724 9209 10882 12143 12589 12076 12638 12618 13210 14576 14791 15891 14819 15808 15168 13509 14322 15359 14531 13633 14730 16031 16185 15994 15111 14799 14012 14435 15789 15051 15697 15613 16692 15643 14847 15293 15811 17135 16639 16701 15606 16577 18340 17291 17007 17658 19328 19692 19510 18218 19478 20219 20274 20150 20686 18680 16547 18799 19512 21116 20751 21409 22054 23521 23638 25016 24138 25456 24823 25219 25382 25670 27594 27736 28475 29008 29044 28118 29080 30335 30022 31322 31509 33026 33664 34144 34989 34792 36790 37849 38380 38046 39292 39484 41153 42082 43060 44268 43797 43693 44187 43668 43110 41418 41630 41697 40824 40983 49291 46256 42764 42623 41440 40794 39258 38177 38689 37383 38026 37320 37212 35827 36251 37643 38877 40145 42045 43972 43844 45798 52106 56320 60397 61199 61424 60413 59610 57633 55938 53201 53986 54360 53129
"66 years" "women" 11329 10900 11985 11715 11570 11231 9761 10407 12041 11247 11576 11440 10967 11469 10699 10183 12869 14004 13599 11586 13342 14995 15457 14657 15363 15019 15745 17045 18103 18646 17874 18847 18265 16127 17442 18239 17603 16336 17370 19246 19325 19177 18592 17668 17155 17734 18916 18247 19301 18804 19741 19002 17660 18203 19296 20582 19938 19645 18741 19951 21828 20439 20566 21335 23088 23531 23403 21773 23216 23738 24054 23495 23790 21710 19714 21233 21958 23239 22865 23787 24263 25102 25372 26901 26610 28008 27344 27500 28227 28905 30414 30634 31793 32522 32547 32200 33173 34347 33994 35228 35824 37067 37401 37830 39079 39048 41319 42008 42850 42379 43485 44583 45367 46188 47283 48245 47203 47360 48217 47577 47704 45801 45673 46084 45263 44911 54585 51384 47945 46909 46116 45282 43663 42469 43379 41522 42607 41190 40884 38855 39391 39554 41348 41995 43832 45220 44503 46490 51966 56974 60397 61545 62244 61651 61215 58999 56687 54520 54916 55150 53969
"67 years" "men" 8141 7721 8022 8823 8766 8194 8194 7200 7535 8740 8308 8496 8499 8423 8725 7995 7347 9868 10582 10282 8939 10409 11642 12078 11578 12107 12121 12695 14007 14218 15299 14236 15128 14568 12990 13816 14777 13980 13158 14194 15607 15619 15422 14608 14305 13497 13980 15268 14492 15175 15162 16130 15103 14357 14807 15257 16563 16157 16115 15119 16114 17786 16777 16484 17111 18696 19116 18899 17622 18884 19618 19645 19568 20072 18109 16049 18205 18911 20438 20135 20823 21470 22874 22982 24317 23450 24806 24060 24561 24660 24969 26843 26981 27738 28185 28285 27389 28249 29503 29250 30490 30685 32140 32789 33189 34029 33822 35763 36812 37314 37036 38176 38352 40025 41001 41852 43041 42587 42453 42955 42543 41995 40347 40561 40663 39761 39935 48151 45145 41825 41688 40494 39906 38466 37478 37931 36637 37311 36594 36530 35201 35650 37005 38251 39511 41360 43340 43215 45155 51438 55560 59594 60441 60677 59693 58884 56982 55266 52503 53382 53704
"67 years" "women" 10712 11259 10387 11492 11167 11111 10762 9220 9891 11499 10845 11082 11025 10529 10988 10229 9804 12383 13549 13131 11276 12815 14476 14921 14129 14794 14479 15227 16456 17481 18028 17252 18116 17659 15584 16932 17709 17080 15884 16806 18562 18770 18609 18055 17137 16625 17249 18389 17712 18773 18276 19224 18459 17125 17664 18721 20027 19379 19024 18195 19382 21195 19855 19994 20756 22419 22940 22700 21183 22609 23010 23357 22882 23162 21151 19206 20643 21376 22614 22292 23133 23624 24541 24773 26217 25994 27373 26719 26912 27586 28236 29732 29943 31082 31866 31913 31537 32483 33706 33346 34513 35171 36402 36703 37168 38395 38388 40697 41361 42236 41748 42844 43908 44727 45532 46609 47614 46590 46719 47590 46973 47113 45236 45154 45563 44676 44338 54004 50826 47450 46414 45635 44836 43238 42130 43015 41128 42157 40748 40462 38491 38984 39164 40947 41606 43382 44884 44136 46062 51573 56525 59921 61071 61772 61133 60737 58548 56251 54101 54545 54700
"68 years" "men" 7833 7707 7282 7609 8356 8343 7742 7696 6688 7038 8102 7853 8108 8111 7966 8256 7620 6964 9484 10115 9679 8472 9942 11140 11556 11025 11591 11615 12147 13418 13742 14649 13540 14479 13983 12477 13286 14207 13426 12542 13718 14998 14971 14821 14044 13748 12978 13466 14681 13980 14702 14606 15516 14514 13836 14221 14783 15956 15556 15571 14637 15607 17194 16252 15911 16566 18054 18478 18292 17021 18192 18957 18980 18905 19431 17418 15460 17574 18240 19723 19498 20202 20788 22194 22256 23628 22727 23968 23327 23820 23832 24206 26053 26191 26881 27373 27394 26584 27398 28651 28256 29561 29732 31239 31798 32157 32952 32804 34609 35664 36213 35905 36964 37106 38808 39744 40534 41769 41305 41195 41665 41292 40793 39178 39501 39530 38688 38906 46873 44080 40812 40714 39515 38926 37693 36660 37051 35835 36499 35863 35895 34550 35010 36338 37572 38833 40724 42631 42586 44546 50743 54772 58785 59620 59804 58854 58101 56269 54578 51846 52675
"68 years" "women" 10636 10244 10726 9893 10946 10688 10606 10220 8718 9312 10708 10333 10644 10583 10015 10483 9838 9405 11929 13052 12443 10779 12335 13953 14363 13559 14266 13955 14650 15852 16793 17385 16497 17477 17074 15055 16404 17104 16531 15307 16177 17985 18161 18011 17471 16560 16106 16685 17829 17167 18199 17717 18610 17891 16541 17083 18172 19425 18735 18445 17656 18791 20474 19292 19393 20142 21745 22229 21967 20539 21915 22310 22635 22151 22508 20489 18556 19978 20746 21945 21679 22498 23026 23961 24106 25574 25363 26629 26030 26228 26830 27545 29040 29199 30333 31125 31158 30818 31750 32992 32648 33812 34479 35669 35999 36378 37696 37779 39964 40668 41532 41032 42108 43166 44026 44833 45890 46901 45947 46066 46912 46310 46426 44622 44558 44976 44101 43794 53266 50197 46867 45907 45131 44314 42858 41774 42580 40692 41680 40301 40037 38054 38555 38736 40553 41184 42971 44458 43746 45647 51075 56063 59386 60511 61237 60604 60230 58049 55730 53663 54076
"69 years" "men" 6722 7398 7247 6843 7135 7928 7870 7211 7162 6177 6722 7646 7468 7698 7643 7478 7849 7253 6623 9061 9405 9154 8040 9477 10612 10997 10523 11087 11092 11620 12914 13073 13958 12899 13845 13366 11902 12743 13585 12825 12266 13159 14390 14348 14197 13453 13217 12465 12919 14145 13497 14130 14011 14882 13962 13275 13662 14170 15319 14922 15034 14123 15013 16569 15687 15301 15979 17374 17801 17662 16418 17590 18272 18296 18210 18707 16754 14871 16935 17606 19003 18840 19545 20102 21401 21554 22802 21838 23178 22525 22954 23055 23385 25166 25314 26015 26477 26465 25691 26497 27570 27292 28507 28747 30186 30701 30944 31970 31688 33369 34486 35004 34698 35741 35836 37486 38384 39159 40411 39946 39786 40237 40001 39593 38007 38281 38324 37610 37797 45587 42983 39699 39666 38511 38010 36817 35836 36189 35006 35671 35039 35151 33827 34308 35595 36853 38154 40063 41852 41911 43873 49929 53921 57952 58761 58965 58026 57296 55476 53773 51071
"69 years" "women" 9065 10165 9677 10251 9363 10432 10188 10015 9695 8153 9043 10183 9858 10180 10058 9489 10070 9430 9031 11465 12267 11905 10322 11841 13364 13790 13017 13716 13382 14085 15358 16117 16595 15846 16860 16459 14504 15845 16515 15867 14767 15615 17312 17578 17370 16857 16026 15576 16055 17239 16549 17571 17111 17976 17270 15908 16562 17601 18750 18075 17848 17072 18098 19864 18632 18801 19521 20975 21491 21209 19926 21136 21616 21847 21442 21730 19758 17924 19311 20063 21268 21007 21873 22368 23254 23354 24785 24587 25872 25268 25471 26103 26749 28268 28441 29527 30340 30362 30031 30971 32159 31924 33042 33710 34872 35237 35552 36966 37018 39142 39914 40785 40274 41373 42360 43233 44069 45155 46117 45185 45324 46179 45569 45686 44015 43901 44300 43498 43146 52597 49577 46258 45287 44550 43859 42427 41277 42048 40175 41169 39835 39575 37621 38094 38293 40138 40795 42548 43959 43352 45165 50564 55433 58815 59923 60634 60092 59699 57471 55234 53187
"70 years" "men" 5922 6314 6921 6887 6346 6710 7452 7295 6641 6627 5983 6243 7267 7032 7200 7124 7030 7445 6881 6248 8266 8845 8669 7597 8994 10049 10469 10023 10526 10557 11189 12287 12357 13282 12231 13147 12721 11292 12161 12899 12435 11686 12594 13742 13701 13524 12873 12599 11894 12385 13658 12937 13489 13390 14281 13334 12741 13064 13511 14684 14380 14410 13543 14435 15925 15015 14682 15315 16672 17110 16928 15723 16846 17500 17569 17427 17907 16099 14273 16269 16907 18305 18170 18795 19312 20569 20753 21932 21050 22308 21683 22100 22180 22484 24225 24348 25075 25520 25444 24759 25386 26565 26289 27422 27645 29038 29531 29804 30755 30505 32153 33225 33624 33391 34414 34499 36124 37012 37732 38895 38572 38352 38801 38658 38294 36767 37040 37144 36409 36628 44219 41724 38547 38606 37490 37023 35854 34900 35263 34119 34813 34283 34321 33048 33573 34835 36108 37397 39304 41115 41117 43091 49114 53017 56989 57842 57977 57076 56382 54664 52891
"70 years" "women" 8024 8583 9606 9073 9683 8834 9901 9541 9440 9119 7911 8505 9728 9383 9629 9511 9038 9613 9039 8595 10678 11681 11407 9822 11280 12771 13181 12430 13117 12780 13411 14669 15296 15869 15195 16156 15805 13926 15235 15748 15263 14178 14947 16691 16878 16690 16246 15392 14988 15460 16580 15953 16894 16466 17336 16514 15378 15927 16883 18034 17493 17238 16408 17442 19131 17963 18082 18802 20172 20721 20432 19085 20404 20792 21065 20707 20906 18967 17227 18649 19416 20417 20346 21158 21600 22493 22577 24001 23796 25044 24515 24680 25211 25845 27457 27617 28676 29449 29574 29255 30100 31312 31119 32217 32910 34029 34388 34767 36155 36216 38337 39128 39891 39470 40529 41466 42359 43348 44337 45266 44385 44490 45397 44824 44933 43313 43227 43602 42809 42541 51821 48842 45570 44648 43968 43289 41897 40691 41456 39617 40655 39319 39019 37101 37620 37792 39663 40310 42081 43442 42854 44680 50055 54841 58208 59271 60001 59444 59046 56858 54675
"71 years" "men" 4985 5549 5849 6495 6388 5907 6228 6882 6705 6106 6118 5506 5865 6848 6527 6676 6678 6594 7046 6486 5972 7751 8330 8188 7145 8458 9518 9955 9462 9955 10120 10594 11554 11663 12606 11550 12501 12075 10738 11490 12420 11831 11113 12011 13041 13033 12897 12195 11996 11316 11760 12999 12253 12791 12704 13562 12741 12176 12402 12851 14080 13806 13719 12939 13855 15223 14362 13987 14577 15935 16399 16159 15038 16070 16695 16812 16645 17090 15348 13618 15604 16103 17543 17462 17987 18550 19800 19884 21107 20165 21361 20711 21210 21313 21490 23291 23360 24076 24535 24399 23698 24349 25453 25220 26252 26477 27854 28396 28541 29452 29262 30808 31813 32320 32028 33035 33066 34684 35526 36176 37364 37099 36936 37423 37276 36905 35471 35688 35865 35226 35380 42805 40450 37348 37503 36397 35958 34843 33928 34278 33233 33931 33438 33427 32234 32821 34067 35379 36610 38544 40303 40341 42318 48189 52043 55898 56884 56955 56132 55463 53648
